customer_name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment,Customer_Cluster
Aaron Bergman,17,37,24646.0,3,4,5,345,Regular Customers,2
Aaron Hawkins,13,34,20759.0,4,3,5,435,Potential Loyalists,2
Aaron Smayling,24,31,14207.0,2,2,3,223,Regular Customers,1
Adam Bellavance,36,41,20189.0,2,5,5,255,At Risk,2
Adam Hart,3,42,21720.0,5,5,5,555,Champions,2
Adam Shillingsburg,16,36,15445.0,3,4,3,343,Regular Customers,2
Adrian Barton,28,40,25125.0,2,5,5,255,At Risk,2
Adrian Hane,22,26,11406.0,3,1,1,311,Regular Customers,1
Adrian Shami,42,24,11287.0,1,1,1,111,Lost Customers,1
Aimee Bixby,36,28,16205.0,2,1,3,213,Regular Customers,1
Alan Barnes,14,35,13053.0,3,4,2,342,Regular Customers,1
Alan Dominguez,6,30,18538.0,5,2,4,524,Potential Loyalists,1
Alan Haines,50,34,15281.0,1,3,3,133,At Risk,1
Alan Hwang,7,38,23641.0,4,5,5,455,Champions,2
Alan Schoenberger,3,35,21837.0,5,4,5,545,Champions,2
Alan Shonely,13,36,10692.0,4,4,1,441,Loyal Customers,1
Alejandro Ballentine,6,39,15463.0,5,5,3,553,Loyal Customers,2
Alejandro Grove,14,33,13419.0,3,3,2,332,Regular Customers,1
Alejandro Savely,19,43,21124.0,3,5,5,355,Regular Customers,2
Aleksandra Gannaway,3,30,14715.0,5,2,3,523,Potential Loyalists,1
Alex Avila,3,26,15993.0,5,1,3,513,Potential Loyalists,1
Alex Grayson,3,36,15071.0,5,4,3,543,Loyal Customers,2
Alex Russell,30,35,16469.0,2,4,4,244,At Risk,2
Alice McCarthy,16,39,18765.0,3,5,4,354,Regular Customers,2
Allen Armold,7,31,6537.0,4,2,1,421,Regular Customers,1
Allen Goldenen,113,23,8928.0,1,1,1,111,Lost Customers,0
Allen Rosenblatt,55,28,9529.0,1,1,1,111,Lost Customers,1
Alyssa Crouse,7,33,12296.0,4,3,2,432,Regular Customers,1
Alyssa Tate,13,36,14945.0,4,4,3,443,Loyal Customers,2
Amy Cox,6,26,17155.0,5,1,4,514,Potential Loyalists,1
Amy Hunt,71,24,9202.0,1,1,1,111,Lost Customers,0
Andrew Allen,126,25,19758.0,1,1,4,114,Regular Customers,0
Andrew Gjertsen,49,40,16381.0,1,5,4,154,At Risk,2
Andrew Roberts,15,39,16914.0,3,5,4,354,Regular Customers,2
Andy Gerbode,13,27,11339.0,4,1,1,411,Regular Customers,1
Andy Reiter,7,23,8545.0,4,1,1,411,Regular Customers,1
Andy Yotov,15,27,8542.0,3,1,1,311,Regular Customers,1
Anemone Ratner,3,27,11492.0,5,1,1,511,Regular Customers,1
Angele Hood,22,31,11357.0,3,2,1,321,Regular Customers,1
Ann Blume,8,27,18727.0,4,1,4,414,Potential Loyalists,1
Ann Chong,7,36,15027.0,4,4,3,443,Loyal Customers,2
Ann Steele,34,30,11818.0,2,2,2,222,Lost Customers,1
Anna Andreadi,29,47,17312.0,2,5,4,254,At Risk,2
Anna Chung,3,25,8932.0,5,1,1,511,Regular Customers,1
Anna Gayman,48,31,15392.0,1,2,3,123,Regular Customers,1
Anna Häberlin,31,36,18093.0,2,4,4,244,At Risk,2
Anne McFarland,26,36,25522.0,2,4,5,245,At Risk,2
Anne Pryor,38,26,16360.0,1,1,3,113,Regular Customers,1
Annie Thurman,3,34,13385.0,5,3,2,532,Regular Customers,1
Annie Zypern,27,28,11871.0,2,1,2,212,Lost Customers,1
Anthony Garverick,29,35,11687.0,2,4,2,242,At Risk,1
Anthony Jacobs,2,37,17757.0,5,4,4,544,Loyal Customers,2
Anthony Johnson,37,32,12284.0,2,3,2,232,At Risk,1
Anthony O'Donnell,8,32,15025.0,4,3,3,433,Potential Loyalists,1
Anthony Rawles,23,45,17339.0,3,5,4,354,Regular Customers,2
Anthony Witt,17,32,15143.0,3,3,3,333,Regular Customers,1
Arianne Irving,14,26,9281.0,3,1,1,311,Regular Customers,1
Art Ferguson,6,45,28183.0,5,5,5,555,Champions,2
Art Foster,54,37,20064.0,1,4,5,145,At Risk,2
Arthur Gainer,24,33,19871.0,2,3,4,234,At Risk,2
Arthur Prichep,77,37,18546.0,1,4,4,144,At Risk,0
Arthur Wiediger,36,28,11016.0,2,1,1,211,Lost Customers,1
Ashley Jarboe,29,36,15949.0,2,4,3,243,At Risk,2
Astrea Jones,49,27,13259.0,1,1,2,112,Lost Customers,1
Barbara Fisher,23,30,9838.0,3,2,1,321,Regular Customers,1
Barry Blumstein,15,37,9883.0,3,4,1,341,Regular Customers,1
Barry Franz,9,27,24082.0,4,1,5,415,Potential Loyalists,2
Barry Französisch,16,31,13206.0,3,2,2,322,Regular Customers,1
Barry Gonzalez,29,34,20023.0,2,3,5,235,At Risk,2
Barry Pond,6,30,10389.0,5,2,1,521,Regular Customers,1
Barry Weirich,23,23,17440.0,3,1,4,314,Regular Customers,1
Bart Folk,26,27,13942.0,2,1,2,212,Lost Customers,1
Bart Pistole,3,38,10087.0,5,5,1,551,Loyal Customers,1
Bart Watters,55,45,32315.0,1,5,5,155,At Risk,2
Becky Castell,30,34,15186.0,2,3,3,233,At Risk,1
Becky Martin,9,35,27173.0,4,4,5,445,Loyal Customers,2
Becky Pak,33,30,14811.0,2,2,3,223,Regular Customers,1
Ben Ferrer,17,37,23219.0,3,4,5,345,Regular Customers,2
Ben Peterman,2,38,16809.0,5,5,4,554,Champions,2
Ben Wallace,41,33,14965.0,1,3,3,133,At Risk,1
Benjamin Farhat,27,32,13370.0,2,3,2,232,At Risk,1
Benjamin Patterson,40,31,18714.0,1,2,4,124,Regular Customers,1
Benjamin Venier,45,25,21366.0,1,1,5,115,Regular Customers,1
Berenike Kampe,27,33,13586.0,2,3,2,232,At Risk,1
Beth Fritzler,7,30,10588.0,4,2,1,421,Regular Customers,1
Beth Paige,13,33,12827.0,4,3,2,432,Regular Customers,1
Beth Thompson,29,34,11631.0,2,3,2,232,At Risk,1
Bill Donatelli,6,38,15276.0,5,5,3,553,Loyal Customers,2
Bill Eplett,36,42,28480.0,2,5,5,255,At Risk,2
Bill Overfelt,22,26,8093.0,3,1,1,311,Regular Customers,1
