customer_name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
Aaron Bergman,17,37,24646.0,3,4,5,345,Regular Customers
Aaron Hawkins,13,34,20759.0,4,3,5,435,Potential Loyalists
Aaron Smayling,24,31,14207.0,2,2,3,223,Regular Customers
Adam Bellavance,36,41,20189.0,2,5,5,255,At Risk
Adam Hart,3,42,21720.0,5,5,5,555,Champions
Adam Shillingsburg,16,36,15445.0,3,4,3,343,Regular Customers
Adrian Barton,28,40,25125.0,2,5,5,255,At Risk
Adrian Hane,22,26,11406.0,3,1,1,311,Regular Customers
Adrian Shami,42,24,11287.0,1,1,1,111,Lost Customers
Aimee Bixby,36,28,16205.0,2,1,3,213,Regular Customers
Alan Barnes,14,35,13053.0,3,4,2,342,Regular Customers
Alan Dominguez,6,30,18538.0,5,2,4,524,Potential Loyalists
Alan Haines,50,34,15281.0,1,3,3,133,At Risk
Alan Hwang,7,38,23641.0,4,5,5,455,Champions
Alan Schoenberger,3,35,21837.0,5,4,5,545,Champions
Alan Shonely,13,36,10692.0,4,4,1,441,Loyal Customers
Alejandro Ballentine,6,39,15463.0,5,5,3,553,Loyal Customers
Alejandro Grove,14,33,13419.0,3,3,2,332,Regular Customers
Alejandro Savely,19,43,21124.0,3,5,5,355,Regular Customers
Aleksandra Gannaway,3,30,14715.0,5,2,3,523,Potential Loyalists
Alex Avila,3,26,15993.0,5,1,3,513,Potential Loyalists
Alex Grayson,3,36,15071.0,5,4,3,543,Loyal Customers
Alex Russell,30,35,16469.0,2,4,4,244,At Risk
Alice McCarthy,16,39,18765.0,3,5,4,354,Regular Customers
Allen Armold,7,31,6537.0,4,2,1,421,Regular Customers
Allen Goldenen,113,23,8928.0,1,1,1,111,Lost Customers
Allen Rosenblatt,55,28,9529.0,1,1,1,111,Lost Customers
Alyssa Crouse,7,33,12296.0,4,3,2,432,Regular Customers
Alyssa Tate,13,36,14945.0,4,4,3,443,Loyal Customers
Amy Cox,6,26,17155.0,5,1,4,514,Potential Loyalists
Amy Hunt,71,24,9202.0,1,1,1,111,Lost Customers
Andrew Allen,126,25,19758.0,1,1,4,114,Regular Customers
Andrew Gjertsen,49,40,16381.0,1,5,4,154,At Risk
Andrew Roberts,15,39,16914.0,3,5,4,354,Regular Customers
Andy Gerbode,13,27,11339.0,4,1,1,411,Regular Customers
Andy Reiter,7,23,8545.0,4,1,1,411,Regular Customers
Andy Yotov,15,27,8542.0,3,1,1,311,Regular Customers
Anemone Ratner,3,27,11492.0,5,1,1,511,Regular Customers
Angele Hood,22,31,11357.0,3,2,1,321,Regular Customers
Ann Blume,8,27,18727.0,4,1,4,414,Potential Loyalists
Ann Chong,7,36,15027.0,4,4,3,443,Loyal Customers
Ann Steele,34,30,11818.0,2,2,2,222,Lost Customers
Anna Andreadi,29,47,17312.0,2,5,4,254,At Risk
Anna Chung,3,25,8932.0,5,1,1,511,Regular Customers
Anna Gayman,48,31,15392.0,1,2,3,123,Regular Customers
Anna Häberlin,31,36,18093.0,2,4,4,244,At Risk
Anne McFarland,26,36,25522.0,2,4,5,245,At Risk
Anne Pryor,38,26,16360.0,1,1,3,113,Regular Customers
Annie Thurman,3,34,13385.0,5,3,2,532,Regular Customers
Annie Zypern,27,28,11871.0,2,1,2,212,Lost Customers
Anthony Garverick,29,35,11687.0,2,4,2,242,At Risk
Anthony Jacobs,2,37,17757.0,5,4,4,544,Loyal Customers
Anthony Johnson,37,32,12284.0,2,3,2,232,At Risk
Anthony O'Donnell,8,32,15025.0,4,3,3,433,Potential Loyalists
Anthony Rawles,23,45,17339.0,3,5,4,354,Regular Customers
Anthony Witt,17,32,15143.0,3,3,3,333,Regular Customers
Arianne Irving,14,26,9281.0,3,1,1,311,Regular Customers
Art Ferguson,6,45,28183.0,5,5,5,555,Champions
Art Foster,54,37,20064.0,1,4,5,145,At Risk
Arthur Gainer,24,33,19871.0,2,3,4,234,At Risk
Arthur Prichep,77,37,18546.0,1,4,4,144,At Risk
Arthur Wiediger,36,28,11016.0,2,1,1,211,Lost Customers
Ashley Jarboe,29,36,15949.0,2,4,3,243,At Risk
Astrea Jones,49,27,13259.0,1,1,2,112,Lost Customers
Barbara Fisher,23,30,9838.0,3,2,1,321,Regular Customers
Barry Blumstein,15,37,9883.0,3,4,1,341,Regular Customers
Barry Franz,9,27,24082.0,4,1,5,415,Potential Loyalists
Barry Französisch,16,31,13206.0,3,2,2,322,Regular Customers
Barry Gonzalez,29,34,20023.0,2,3,5,235,At Risk
Barry Pond,6,30,10389.0,5,2,1,521,Regular Customers
Barry Weirich,23,23,17440.0,3,1,4,314,Regular Customers
Bart Folk,26,27,13942.0,2,1,2,212,Lost Customers
Bart Pistole,3,38,10087.0,5,5,1,551,Loyal Customers
Bart Watters,55,45,32315.0,1,5,5,155,At Risk
Becky Castell,30,34,15186.0,2,3,3,233,At Risk
Becky Martin,9,35,27173.0,4,4,5,445,Loyal Customers
Becky Pak,33,30,14811.0,2,2,3,223,Regular Customers
Ben Ferrer,17,37,23219.0,3,4,5,345,Regular Customers
Ben Peterman,2,38,16809.0,5,5,4,554,Champions
Ben Wallace,41,33,14965.0,1,3,3,133,At Risk
Benjamin Farhat,27,32,13370.0,2,3,2,232,At Risk
